x,y,zx,zy,zxy,ncd
s11.txt,s110.txt,592,590,1168,0.9763513513513513
s11.txt,s111.txt,592,609,1187,0.9770114942528736
s11.txt,s112.txt,592,599,1181,0.9833055091819699
s11.txt,s113.txt,592,599,1176,0.9749582637729549
s11.txt,s114.txt,592,598,1175,0.9749163879598662
s11.txt,s115.txt,592,595,1173,0.9764705882352941
s11.txt,s116.txt,592,599,1178,0.9782971619365609
s11.txt,s117.txt,592,590,1167,0.9746621621621622
s11.txt,s118.txt,592,605,1185,0.9801652892561984
s11.txt,s119.txt,592,600,1181,0.9816666666666667
s11.txt,s12.txt,592,592,1170,0.9763513513513513
s11.txt,s120.txt,592,603,1178,0.9718076285240465
s11.txt,s121.txt,592,569,1149,0.9797297297297297
s11.txt,s122.txt,592,535,1110,0.9712837837837838
s11.txt,s123.txt,592,531,1107,0.972972972972973
s11.txt,s124.txt,592,583,1164,0.981418918918919
s11.txt,s125.txt,592,498,1075,0.9746621621621622
s11.txt,s126.txt,592,547,1126,0.9780405405405406
s11.txt,s127.txt,592,536,1119,0.9847972972972973
s11.txt,s128.txt,592,557,1142,0.9881756756756757
s11.txt,s129.txt,592,521,1100,0.9780405405405406
s11.txt,s13.txt,592,589,1163,0.9695945945945946
s11.txt,s130.txt,592,535,1121,0.9898648648648649
s11.txt,s14.txt,592,589,1162,0.9679054054054054
s11.txt,s15.txt,592,593,1160,0.9578414839797639
s11.txt,s16.txt,592,600,1169,0.9616666666666667
s11.txt,s17.txt,592,594,1163,0.9612794612794613
s11.txt,s18.txt,592,598,1163,0.9548494983277592
s11.txt,s19.txt,592,593,1167,0.96964586846543
s110.txt,s111.txt,590,609,1183,0.9737274220032841
s110.txt,s112.txt,590,599,1185,0.993322203672788
s110.txt,s113.txt,590,599,1173,0.9732888146911519
s110.txt,s114.txt,590,598,1175,0.9782608695652174
s110.txt,s115.txt,590,595,1176,0.984873949579832
s110.txt,s116.txt,590,599,1173,0.9732888146911519
s110.txt,s117.txt,590,590,1164,0.9728813559322034
s110.txt,s118.txt,590,605,1180,0.9752066115702479
s110.txt,s119.txt,590,600,1175,0.975
s110.txt,s12.txt,590,592,1164,0.9695945945945946
s110.txt,s120.txt,590,603,1177,0.9734660033167496
s110.txt,s121.txt,590,569,1146,0.9779661016949153
s110.txt,s122.txt,590,535,1116,0.9847457627118644
s110.txt,s123.txt,590,531,1108,0.9779661016949153
s110.txt,s124.txt,590,583,1160,0.9779661016949153
s110.txt,s125.txt,590,498,1079,0.9847457627118644
s110.txt,s126.txt,590,547,1123,0.976271186440678
s110.txt,s127.txt,590,536,1120,0.9898305084745763
s110.txt,s128.txt,590,557,1139,0.9864406779661017
s110.txt,s129.txt,590,521,1099,0.9796610169491525
s110.txt,s13.txt,590,589,1164,0.9745762711864406
s110.txt,s130.txt,590,535,1113,0.9796610169491525
s110.txt,s14.txt,590,589,1161,0.9694915254237289
s110.txt,s15.txt,590,593,1163,0.9662731871838112
s110.txt,s16.txt,590,600,1174,0.9733333333333334
s110.txt,s17.txt,590,594,1167,0.9713804713804713
s110.txt,s18.txt,590,598,1164,0.959866220735786
s110.txt,s19.txt,590,593,1160,0.9612141652613828
s111.txt,s112.txt,609,599,1198,0.9835796387520526
s111.txt,s113.txt,609,599,1192,0.9737274220032841
s111.txt,s114.txt,609,598,1195,0.9802955665024631
s111.txt,s115.txt,609,595,1192,0.9802955665024631
s111.txt,s116.txt,609,599,1197,0.9819376026272578
s111.txt,s117.txt,609,590,1185,0.9770114942528736
s111.txt,s118.txt,609,605,1198,0.9737274220032841
s111.txt,s119.txt,609,600,1195,0.9770114942528736
s111.txt,s12.txt,609,592,1193,0.986863711001642
s111.txt,s120.txt,609,603,1187,0.9589490968801314
s111.txt,s121.txt,609,569,1169,0.9852216748768473
s111.txt,s122.txt,609,535,1136,0.986863711001642
s111.txt,s123.txt,609,531,1124,0.9737274220032841
s111.txt,s124.txt,609,583,1179,0.9786535303776683
s111.txt,s125.txt,609,498,1099,0.986863711001642
s111.txt,s126.txt,609,547,1145,0.9819376026272578
s111.txt,s127.txt,609,536,1128,0.9720853858784894
s111.txt,s128.txt,609,557,1158,0.986863711001642
s111.txt,s129.txt,609,521,1119,0.9819376026272578
s111.txt,s13.txt,609,589,1193,0.9917898193760263
s111.txt,s130.txt,609,535,1137,0.9885057471264368
s111.txt,s14.txt,609,589,1189,0.9852216748768473
s111.txt,s15.txt,609,593,1186,0.9737274220032841
s111.txt,s16.txt,609,600,1196,0.9786535303776683
s111.txt,s17.txt,609,594,1188,0.9753694581280788
s111.txt,s18.txt,609,598,1194,0.9786535303776683
s111.txt,s19.txt,609,593,1192,0.9835796387520526
s112.txt,s113.txt,599,599,1190,0.986644407345576
s112.txt,s114.txt,599,598,1187,0.9833055091819699
s112.txt,s115.txt,599,595,1185,0.9849749582637729
s112.txt,s116.txt,599,599,1188,0.9833055091819699
s112.txt,s117.txt,599,590,1179,0.9833055091819699
s112.txt,s118.txt,599,605,1197,0.9884297520661157
s112.txt,s119.txt,599,600,1190,0.985
s112.txt,s12.txt,599,592,1192,1.001669449081803
s112.txt,s120.txt,599,603,1183,0.9684908789386402
s112.txt,s121.txt,599,569,1161,0.988313856427379
s112.txt,s122.txt,599,535,1123,0.9816360601001669
s112.txt,s123.txt,599,531,1119,0.9816360601001669
s112.txt,s124.txt,599,583,1174,0.986644407345576
s112.txt,s125.txt,599,498,1089,0.986644407345576
s112.txt,s126.txt,599,547,1135,0.9816360601001669
s112.txt,s127.txt,599,536,1128,0.988313856427379
s112.txt,s128.txt,599,557,1151,0.991652754590985
s112.txt,s129.txt,599,521,1110,0.9833055091819699
s112.txt,s13.txt,599,589,1186,0.996661101836394
s112.txt,s130.txt,599,535,1127,0.988313856427379
s112.txt,s14.txt,599,589,1183,0.991652754590985
s112.txt,s15.txt,599,593,1188,0.993322203672788
s112.txt,s16.txt,599,600,1190,0.985
s112.txt,s17.txt,599,594,1187,0.989983305509182
s112.txt,s18.txt,599,598,1191,0.989983305509182
s112.txt,s19.txt,599,593,1185,0.988313856427379
s113.txt,s114.txt,599,598,1176,0.9649415692821369
s113.txt,s115.txt,599,595,1184,0.9833055091819699
s113.txt,s116.txt,599,599,1184,0.9766277128547579
s113.txt,s117.txt,599,590,1172,0.9716193656093489
s113.txt,s118.txt,599,605,1188,0.9735537190082645
s113.txt,s119.txt,599,600,1181,0.97
s113.txt,s12.txt,599,592,1185,0.989983305509182
s113.txt,s120.txt,599,603,1188,0.9767827529021559
s113.txt,s121.txt,599,569,1156,0.9799666110183639
s113.txt,s122.txt,599,535,1118,0.9732888146911519
s113.txt,s123.txt,599,531,1119,0.9816360601001669
s113.txt,s124.txt,599,583,1169,0.9782971619365609
s113.txt,s125.txt,599,498,1088,0.9849749582637729
s113.txt,s126.txt,599,547,1129,0.9716193656093489
s113.txt,s127.txt,599,536,1126,0.9849749582637729
s113.txt,s128.txt,599,557,1142,0.9766277128547579
s113.txt,s129.txt,599,521,1104,0.9732888146911519
s113.txt,s13.txt,599,589,1179,0.9849749582637729
s113.txt,s130.txt,599,535,1120,0.9766277128547579
s113.txt,s14.txt,599,589,1182,0.989983305509182
s113.txt,s15.txt,599,593,1183,0.9849749582637729
s113.txt,s16.txt,599,600,1184,0.975
s113.txt,s17.txt,599,594,1185,0.986644407345576
s113.txt,s18.txt,599,598,1182,0.9749582637729549
s113.txt,s19.txt,599,593,1179,0.9782971619365609
s114.txt,s115.txt,598,595,1180,0.9782608695652174
s114.txt,s116.txt,598,599,1183,0.9766277128547579
s114.txt,s117.txt,598,590,1177,0.9816053511705686
s114.txt,s118.txt,598,605,1191,0.9801652892561984
s114.txt,s119.txt,598,600,1191,0.9883333333333333
s114.txt,s12.txt,598,592,1189,0.9983277591973244
s114.txt,s120.txt,598,603,1190,0.9817578772802653
s114.txt,s121.txt,598,569,1161,0.9899665551839465
